SSS028,Acid Soluble Sulphate Content,BS 1377-3 Cl 5.2 & 5.5
T01028,Carbonate Content,BS 1377-3 Cl 6
SSS023,Chloride (Water Soluble),BS 1377-3
T00120,Loss on Ignition,BS 1377-3 Cl 4
CHM044,Organic Matter,BS 1377-3 Cl 3
T00204,Organic Matter Content,BS 1377-3
ASO076,pH,BS 1377-3
CON230,pH (Alkalinity) of Concrete Substrate,BS 1377-3
ASO117,Resistivity,"BS 1377-3, Cl 10.4"
CHM038,Soils - Carbonate Content,BS 1377-3:1990 Cl 6
CWA026,Total Dissolved Solids (TDS),BS 1377-3 Cl 8
ASO020,Water Soluble Salt,BS 1377-3
T00130,Water-Soluble Sulphate Content,BS 1377-3
