CCH002,Acid Soluble Sulfates,BS EN 1744-1:1998 Cl 12
ASO089,Acid Soluble Sulfides,BS EN 1744-1 Cl 13
T00129,Acid Soluble Sulphate,BS EN 1744-1
ASO039,Acid Soluble Sulphate Content,BS EN 1744-1
ASO214,Calcium Carbonate Content,"BS EN 1744-1, Cl 12.3"
T00111,Chlorine,BS EN 1744-1
T01020,Fulvo Acid Content,BS EN 1744-1 Cl 15.2
ASO112,Humus content,BS EN 1744-1
T01088,Lightweight Organic Contaminator,BS EN 1744-1 Cl 14.2
ASO091,Loss on Ignition,"BS EN 1744-1, Cl 17"
T00939,Potential Presence of Humus,BS EN 1744-1 Cl 15.1
ASO088,Total Sulfur Content,BS EN 1744-1
ASO090,Water Solubility,"BS EN 1744-1, Cl 16"
ASO086,Water-sol.Chloride-Mohr,BS EN 1744-1
T00997,Water-soluble Chloride Salts,BS EN 1744-1 Cl 7
ASO087,Water-soluble Sulfates,BS EN 1744-1
