T00661,Abrasion Resistance,BS EN 14157
T01089,Abrasion Resistance,BS EN 1344 Annex E
CPC197,Abrasion Resistance,BS EN 1340
CPC373,Abrasion Resistance,BS EN 1339 Annex G
SPL274,Abrasion Resistance,BS EN 14157
T00159,Abrasion Resistance,BS EN 12808-2
T00162,Abrasion Resistance,BS EN 13892-4
SPL317,Abrasion Resistance (Wide Wheel Method),BS EN 1338-5.3.4
CPH125,Abrasion Resistance (Wide Wheel),"BS EN 1338, Annex G"
ASO046,Acid Soluble Chloride Salts,BS EN 1744-5
CCH002,Acid Soluble Sulfates,BS EN 1744-1:1998 Cl 12
ASO089,Acid Soluble Sulfides,BS EN 1744-1 Cl 13
T00129,Acid Soluble Sulphate,BS EN 1744-1
ASO039,Acid Soluble Sulphate Content,BS EN 1744-1
CPC460,Activity Index,BS EN 13263
T00832,Activity Index,BS EN 450-1 Cl 5.3.2
T00833,Activity Index,BS EN 15167-1 Cl 5.3.2.3
T00834,Activity Index,BS EN 13263-1 Cl 5.3.3
CPC169,Adhesion / Cohesion,"BS EN 13963, cl 5.5"
T00037,Adhesion Pull-off Test (Waterproofing on Concrete Substrate),BS EN ISO 4624
T00038,Adhesion Pull-off Test (Waterproofing on Metal Substrate),BS EN ISO 4624
T01177,Adhesion Strength,BS EN 1015-12
SPL484,Adhesive Strength of Hardened Rendering and Plastering Mortars on Substrate,BS EN 1015-12
CON290,"Admixtures for Concrete, Mortar & Grout",BS EN 480-1
CPC149,Agglomerated Stone-Abrasion Resistance,BS EN 14617-4
CPC151,Agglomerated Stone-Coefficient of Linear Expansion,BS EN 14617-11
SPL377,Agglomerated Stone-Flexual Strength (Bending),BS EN14617-2
T01014,Aggregate Abrasion Value,BS EN 1097-8 Annex A
T01038,Aggregate Abrasion Value (AAV),BS EN 1097-8 Annex 8
T00591,Air Content,BS EN 413-2
CPC536,Air Content,BS EN 934-2
CON258,Air Content - Pressure Methods,BS EN 12350-7
CPH383,Alkali Content,BS EN 196
T00596,"Alkali Content (Sodium Oxide, Potassium Oxide)",BS EN 196-2
CPH401,Aluminum oxide (Al2O3),BS EN 196-2
T00913,Angle of Shearing Resistance (Direct Shear Box Test),BS EN ISO 17892-10
T00982,Apparent Density,BS EN 12467 Cl 7.3.1
CPC171,Apparent Density,BS EN 1936
SPL378,Apparent Density and Water Absorption,BS EN 14617-1
CPC314,Apparent Opening Size,BS EN ISO 12956
ASO105,Assessment of fines (Air jet sieving),BS EN 933
CHE018,Assessment of Fines - Methylene Blue Test,BS EN 933-9
T01035,Assessment of Fines - Sand Equivalent Test,BS EN 933-8
T00208,Bend,BS EN ISO 15630-1
T00209,Bend,BS EN ISO 7438
T00983,Bending Strength,BS EN 12467 Cl 7.3.2
CON209,Bending Strength,BS EN 1340
CPC370,Bending Strength & Breaking Load,BS EN 1339 Annex F
CPH213,Bending Strength: Conduit Systems for Cable Management,BS EN 61386-1. Cl 10.4.101
T00175,Bending Tensile Strength,BS EN 772-6
CPC195,Bleed Resistance,BS EN 1871
T00210,Bleeding,BS EN 12715 Annex A
T01148,Bleeding Of Concrete,BS EN 480-4
SPL063,Bleeding Test,BS EN 445
T00481,Bleeding Test,BS EN 445
SPL466,Bond quality of Plywood,"BS EN 314-1, Annex A"
CPC182,Bond Strength,BS EN 1542
CPC341,Breaking Load at Dowel Hole,BS EN 13364
CPH260,Breaking Load at Dowel Hole,BS EN 13364
SPL013,Breaking Strength and Load,BS EN 13748-1
CPC551,Bulk Density,BS EN 1015
T00972,Bulk Density,BS EN 1015
ASO214,Calcium Carbonate Content,"BS EN 1744-1, Cl 12.3"
CPH402,Calcium Oxide,BS EN 196-2
T00858,Calibration of Cube Mould,BS EN 12390-1
CPC533,Capillary Absorption,BS EN 934-2
CON259,Capillary Absorption,BS EN 480-5
CON261,Capillary Absorption,BS EN 480-5
T00155,Capillary Water Absorption,BS EN 1015-18
CON109,Capillary Water Absorption,BS EN 772-11
T00351,Carbonation Test,BS EN 14630
SPL353,Cathodic Disbondment  for 2 days,BS EN 10290
SPL354,Cathodic Disbondment for 28 days,BS EN 10290
CPC436,CBR Puncture Resistnace,BS EN ISO 12236
T00213,Charpy Impact,BS EN ISO 148-1
CHAR05,Charpy Test,BS EN 10045-1
SPL117,Chemical Analysis,BS EN 196-2
CPH293,Chemical Resistance,BS EN 10543-13
T00482,Chemical Resistance,BS EN 14414 Method B
T00158,Chemical Resistance,BS EN 12808-1
CPH207,Chemical Resistance: Ceramic Tiles,BS EN ISO 10545: Pt 13
CHM041,Chloride,BS EN ISO 11127-7:1997
CPH384,Chloride,BS EN 196
IPC110,Chloride,BS EN ISO 11127-7
CON066,Chloride Content,BS EN 196-2
T00595,Chloride Content,BS EN 196-2
